"Code","Name","Latitude","Longitude","tACANavg","tACANstd","tSCARavg","tSCARstd","YEAR","tHerbiBiomass","Reef Type","Depth"
"R13 SFR","LHRA",17.226,-87.6015,108.32621859255,158.90406691747,284.11158911849,182.60339812642,"2023",392.43780771104,"Atoll",NA
"R13 SFR","R13 SFR",17.22598,-87.60154,141,153,690,647,"2021",831,NA,8.4
"R14","LHRA",17.2237,-87.5638,15.578878295259,20.821765949659,1097.8282496628,1248.4540306801,"2023",1113.40712795806,"Atoll",NA
"R15 DFR","LHRA",17.2032,-87.5422,96.232356644951,148.31214167236,1070.2670528882,1302.6566094276,"2023",1166.49940953315,"Atoll",NA
"R15 DFR","R15 DFR",17.20323,-87.54223,130,96,2831,4199,"2021",2961,NA,11
"R16 DFR","LHRA",17.2032,-87.5249,172.9536212809,226.71596961779,243.09291320938,373.0042938346,"2023",416.04653449028,"Atoll",NA
"R16 DFR","R16 DFR",17.20319,-87.52493,328,345,1314,1225,"2021",1642,NA,13.6
"R17 SFR","LHRA",17.2034,-87.5281,326.56015000629,355.15254063471,580.45623368545,839.80485368356,"2023",907.01638369174,"Atoll",NA
"R17 SFR","R17 SFR",17.20341,-87.52811,100,100,814,727,"2021",914,NA,5.3
"R18 BR","LHRA",17.1862,-87.6121,599.23962330877,972.80562137871,590.50964557884,447.50644695989,"2023",1189.74926888761,"Atoll",NA
"R18 BR","R18 BR",17.18617,-87.61214,153,133,662,723,"2021",815,NA,1.8
"R19","LHRA",17.1242,-87.6208,155.76491798687,240.9609832974,338.70695748201,482.03270041495,"2023",494.47187546888,"Atoll",NA
"R2 SFR","R2 SFR",17.47189,-87.48732,120,102,511,575,"2021",631,NA,4.3
